06-04-05_60_90,-7.9
06-04-05_240_270,-4.8
06-04-05_300_330,-3.7
06-04-05_330_360,-5.4
06-04-05_420_450,-5.8
06-04-05_510_540,-3.1
06-04-05_750_780,-2.7
06-04-05_960_990,0.7
06-04-05_990_1020,8.6
06-04-05_1020_1050,1.3
06-04-05_1050_1080,-1.4
06-04-05_1110_1140,1
06-04-05_1140_1170,1.8
06-04-05_1170_1200,-4.3
06-04-05_1200_1230,-5.1
06-04-05_1230_1260,0.6
06-04-05_1320_1350,-4.2
06-04-05_1380_1410,-4.8
06-04-05_1710_1740,-4.5
06-04-05_1800_1830,-2.9
06-04-05_1950_1980,-0.8
06-04-05_1980_2010,0.4
06-04-05_2070_2100,-3.6
06-04-05_2100_2130,-6.5
06-04-05_2160_2190,-5.1
06-04-05_2220_2250,-1.2
06-04-05_2280_2310,5.9
06-04-05_2310_2340,-0.7
06-04-05_2370_2400,3.4
06-04-05_2400_2430,6.7
06-04-05_2430_2460,4.1
06-04-12_210_240,-2.5
06-04-12_270_300,-1.2
06-04-12_570_600,-2.6
06-04-12_720_750,-2.1
06-04-12_750_780,7.2
06-04-12_810_840,7.1
06-04-12_1050_1080,4.7
06-04-12_1110_1140,2.3
06-04-12_1200_1230,-1.6
06-04-12_1320_1350,5.5
06-04-12_1350_1380,5.9
06-04-12_1440_1470,3.6
06-04-12_1530_1560,0.8
06-04-12_1560_1590,7
06-04-12_1590_1620,3.2
06-04-12_1650_1680,0.3
06-04-12_1680_1710,-2.1
06-04-12_1710_1740,1
06-04-12_1830_1860,0.1
06-04-12_1890_1920,2.7
06-04-12_1920_1950,6.9
06-04-12_2040_2070,-1.9
06-04-12_2160_2190,6.8
06-04-12_2250_2280,1.7
06-04-12_2280_2310,3.6
06-04-12_2370_2400,-1.6
06-04-12_2400_2430,0.4
06-04-12_2430_2460,4
06-04-12_2460_2490,2.8
06-04-12_2490_2520,-0.4
06-04-12_2520_2550,-1.8
06-05-03_240_270,-1.3
06-05-03_270_300,2.5
06-05-03_570_600,4
06-05-03_600_630,4.3
06-05-03_660_690,2.4
06-05-03_870_900,-3.2
06-05-03_930_960,1.9
06-05-03_1020_1050,2.5
06-05-03_1050_1080,-2.2
06-05-03_1080_1110,-0.3
06-05-03_1140_1170,-6.6
06-05-03_1230_1260,-4.9
06-05-03_1290_1320,4.2
06-05-03_1320_1350,-2.4
06-05-03_1350_1380,4.4
06-05-03_1440_1470,3.4
06-05-03_1470_1500,5.3
06-05-03_1500_1530,1.6
06-05-03_1530_1560,5.1
06-05-03_1560_1590,2
06-05-03_1650_1680,0.8
06-05-03_1740_1770,-0.7
06-05-03_1800_1830,3.7
06-05-03_1830_1860,5.4
06-05-03_1860_1890,5.3
06-05-03_1890_1920,7.8
06-05-03_1920_1950,0.2
06-05-03_1950_1980,-3.4
06-05-03_1980_2010,0.7
06-05-03_2010_2040,4.1
06-05-03_2040_2070,-3.1
06-05-10_60_90,-4.7
06-05-10_210_240,-2.2
06-05-10_360_390,-2.3
06-05-10_420_450,0.6
06-05-10_450_480,1.5
06-05-10_480_510,8
06-05-10_510_540,7.6
06-05-10_540_570,3.8
06-05-10_630_660,4.1
06-05-10_690_720,3.5
06-05-10_720_750,8
06-05-10_750_780,5.7
06-05-10_780_810,3.8
06-05-10_810_840,6.9
06-05-10_840_870,-0.9
06-05-10_870_900,8.1
06-05-10_900_930,2
06-05-10_960_990,7.2
06-05-10_990_1020,5.7
06-05-10_1020_1050,6.4
06-05-10_1050_1080,9
06-05-10_1080_1110,2.2
06-05-10_1110_1140,8.2
06-05-10_1140_1170,3.7
06-05-10_1260_1290,6.2
06-05-10_1290_1320,7.6
06-05-10_1320_1350,5
06-05-10_1350_1380,6.7
06-05-10_1410_1440,5.5
06-05-10_1440_1470,6.4
06-05-10_1500_1530,6.8
06-05-10_1530_1560,4.3
06-05-10_1560_1590,4.4
06-05-10_1590_1620,3.9
06-05-10_1650_1680,0.1
06-05-10_1710_1740,4.2
06-05-10_1800_1830,4.3
06-05-10_1830_1860,7.4
06-05-10_1860_1890,8.1
06-05-10_1890_1920,3.7
06-05-10_1920_1950,4.2
06-05-10_1950_1980,5.1
06-05-10_1980_2010,6.5
06-05-10_2010_2040,4.1
06-05-10_2040_2070,3.6
06-05-10_2070_2100,3
06-05-10_2130_2160,7.1
06-05-10_2160_2190,3.8
06-05-10_2190_2220,5.2
06-05-10_2220_2250,1.2
06-05-10_2250_2280,7.9
06-05-10_2280_2310,4.5
06-05-10_2310_2340,4.8
06-05-10_2340_2370,6.6
06-05-10_2370_2400,8.3
06-05-10_2400_2430,7.3
06-05-10_2430_2460,0.7
06-05-17_210_240,-5.5
06-05-17_240_270,-6
06-05-17_720_750,2.1
06-05-17_1140_1170,-0.3
06-05-17_1170_1200,-4.1
06-05-17_1500_1530,1.1
06-05-17_1590_1620,-2.3
06-05-17_1620_1650,1
06-05-17_1800_1830,-0.9
06-05-17_1920_1950,5
06-05-17_1950_1980,-0.4
06-05-17_2010_2040,2.7
06-05-17_2190_2220,-2.6
06-05-17_2250_2280,1.5
06-05-17_2280_2310,4.1
06-05-17_2370_2400,-2.2
06-05-24_360_390,-3.7
06-05-24_390_420,-4
06-05-24_450_480,-4.6
06-05-24_570_600,-3.9
06-05-24_600_630,-3.3
06-05-24_660_690,-3.8
06-05-24_780_810,-2.8
06-05-24_810_840,-1.6
06-05-24_840_870,-2.9
06-05-24_990_1020,-0.1
06-05-24_1080_1110,-4.4
06-05-24_1290_1320,0.8
06-05-24_1410_1440,5.2
06-05-24_1440_1470,7
06-05-24_1470_1500,1.8
06-05-24_1590_1620,1.1
06-05-24_1620_1650,2.4
06-05-24_1650_1680,-4
06-05-24_1740_1770,2.9
06-05-24_1890_1920,-5
06-05-24_2010_2040,-2.3
06-05-31_150_180,-5.6
06-05-31_210_240,-6.3
06-05-31_240_270,-5.8
06-05-31_330_360,-5.5
06-05-31_360_390,-7.7
06-05-31_480_510,-5.5
06-05-31_630_660,-5.1
06-05-31_660_690,-5.1
06-05-31_690_720,-3.8
06-05-31_720_750,-3.6
06-05-31_780_810,-3.5
06-05-31_960_990,-1.9
06-05-31_1020_1050,-2.7
06-05-31_1200_1230,-3.4
06-05-31_1260_1290,-6.5
06-05-31_1290_1320,-6.2
06-05-31_1380_1410,-4.7
06-05-31_1410_1440,-4.9
06-05-31_1440_1470,-5.4
06-05-31_1470_1500,-3.4
06-05-31_1500_1530,-4.6
06-05-31_1530_1560,0.3
06-05-31_1560_1590,-1.8
06-05-31_1650_1680,-6
06-05-31_1740_1770,-1.5
06-05-31_1770_1800,-0.3
06-05-31_1800_1830,-0.1
06-05-31_1830_1860,-4.1
06-05-31_1860_1890,-0.7
06-05-31_1920_1950,-3.6
06-05-31_2040_2070,-6.5
06-05-31_2070_2100,-4.5
06-05-31_2250_2280,-5.8
06-05-31_2280_2310,-0.2
06-05-31_2340_2370,-5.9
06-05-31_2370_2400,-3.5
06-05-31_2430_2460,-6
06-06-07_330_360,-4.5
06-06-07_420_450,-4.3
06-06-07_630_660,-7.6
06-06-07_720_750,-3.7
06-06-07_1050_1080,-3.8
06-06-07_1140_1170,-3
06-06-07_1260_1290,-4.1
06-06-07_1830_1860,-3.3
06-06-07_1920_1950,-0.2
06-06-07_1980_2010,-3.9
06-06-07_2160_2190,-3.9
06-06-07_2220_2250,-0.8
06-06-07_2250_2280,-4.6
06-06-07_2280_2310,-4.4
06-06-07_2310_2340,-0.3
06-06-07_2370_2400,-2.1
06-06-07_2400_2430,-5.5
06-06-07_2580_2610,-4.9
06-06-07_2640_2670,2.2
06-06-07_2670_2700,-3.5
06-06-07_2700_2730,-3.9
06-09-06_120_150,-5.3
06-09-06_330_360,-3.4
06-09-06_420_450,-1.9
06-09-06_450_480,0.6
06-09-06_630_660,3
06-09-06_660_690,-1.3
06-09-06_780_810,1.8
06-09-06_870_900,2.6
06-09-06_900_930,5
06-09-06_930_960,-0.9
06-09-06_960_990,-2.4
06-09-06_990_1020,1.3
06-09-06_1050_1080,-0.7
06-09-06_1080_1110,0.7
06-09-06_1170_1200,4.2
06-09-06_1230_1260,1.3
06-09-06_1260_1290,2.9
06-09-06_1320_1350,-0.5
06-09-06_1440_1470,3.5
06-09-06_1470_1500,4.6
06-09-06_1710_1740,0.3
06-09-06_1740_1770,5
06-09-06_1770_1800,-3.1
06-09-06_1800_1830,3.8
06-09-06_1860_1890,0
06-09-06_1920_1950,4.5
06-09-06_1950_1980,1.4
06-09-06_2010_2040,5
06-09-06_2040_2070,0.8
06-09-06_2070_2100,4.5
06-09-06_2160_2190,2.1
06-09-13_150_180,-8.5
06-09-13_270_300,-4.4
06-09-13_330_360,2
06-09-13_420_450,-4.4
06-09-13_450_480,1.4
06-09-13_540_570,-1.6
06-09-13_570_600,-1.3
06-09-13_660_690,0.6
06-09-13_690_720,6
06-09-13_720_750,6.2
06-09-13_750_780,3.4
06-09-13_810_840,1.3
06-09-13_840_870,5.7
06-09-13_870_900,-0.7
